id,category,subject,description,gold_label,gold_notes,challenge_type
A-01,Radwege,Glasscherben auf Radweg,"Auf dem Radweg an der Venloer Straße liegen überall Glasscherben. Mehrere Radfahrer mussten schon ausweichen, sehr gefährlich bei Dunkelheit.",true,Expliziter Hinweis auf Radweg und Gefahr für Radfahrende durch Scherben.,easy_true
A-02,Straßen,Radfahrerampel reagiert nicht,"Die Radfahrerampel an der Kreuzung Aachener Str./Gürtel schaltet seit Tagen nicht. Man steht ewig oder fährt bei Rot, weil nix passiert.",true,Defekte Radfahrerampel betrifft direkt die Sicherheit und den Verkehrsfluss von Radfahrenden.,easy_true
A-03,Sicherheit und Gefahr,Baustelle blockiert Radstreifen,"Wegen Baustelle stehen Absperrgitter komplett auf dem Radstreifen. Radfahrer müssen in den Autoverkehr rüber, echt heikel.",true,"Radstreifen ist blockiert, Radfahrende müssen ausweichen und sind dadurch gefährdet.",easy_true
A-04,Gehwege,Fahrradweg-Markierung fehlt,"Auf dem gemeinsamen Weg ist die Markierung vom Fahrradweg fast weg. Viele laufen mittig, Radfahrer klingeln dauernd, Chaos hier.",true,Explizite Erwähnung von Fahrradweg-Markierung und Konflikten mit Radfahrenden.,easy_true
A-05,Radwege,Schlagloch im Radweg,"Im Radweg an der Deutzer Brücke ist ein tiefes Schlagloch. Habe mich fast hingelegt, bitte dringend reparieren.",true,Schlagloch auf einem Radweg stellt eine klare Gefahr für Radfahrende dar.,easy_true
B-01,Sexistische Werbung,Plakat mit anzüglichem Inhalt,An der Haltestelle am Rheinufer hängt seit gestern ein Plakat mit sehr sexistischem Text. Viele Kinder laufen dort vorbei. Bitte entfernen oder prüfen lassen.,false,"Es geht um anstößige Werbung, ohne Bezug zu Radverkehr oder dessen Sicherheit.",easy_false
B-02,Werbung für Bordelle,Großbanner wirbt für Bordell,An der Hauswand Ecke Lindenstraße/Marktplatz hängt ein riesiges Banner für ein Bordell. Das ist hier mitten im Wohngebiet und wirkt extrem unpassend. Bitte klären.,false,"Thema ist unerwünschte Werbung, kein Zusammenhang mit Radfahren.",easy_false
B-03,Brunnen,Brunnen sprudelt nicht mehr,Der kleine Brunnen auf dem Platz vor dem Kulturzentrum ist seit Tagen aus. Nur noch trübes Wasser steht drin. Könnte mal gereinigt oder repariert werden.,false,"Meldung betrifft einen Brunnen, ohne plausible Relevanz für Radfahrende.",easy_false
B-04,Kölner Grün,Rasenfläche völlig zertrampelt,"Die Grünfläche am Parkeingang ist komplett zerwühlt und voller Matsch. Sieht nach Wochenenden mit vielen Leuten aus. Wäre gut, wenn das wieder hergerichtet wird.",false,"Es geht um eine beschädigte Grünfläche, nicht um Radverkehr oder Infrastruktur dafür.",easy_false
B-05,Glascontainer voll,Altglascontainer überfüllt,"Die Glascontainer an der Ecke Sonnenweg sind bis oben voll, daneben liegen Flaschen und Scherben. Bitte zeitnah leeren lassen. Das zieht auch Ratten an.",false,"Thema ist Überfüllung am Glascontainerplatz, ohne Hinweis auf Radfahrende oder Fahrwege.",easy_false
